,0,1
354,1.417222635746316e-17,Asset14Asset18
355,1.5991922398561468e-17,Asset14Asset19
356,7.195209640485696e-19,Asset14Asset20
357,0.0,Asset14Asset21
358,8.027454678001195e-13,Asset14Asset22
359,2.2319405446437806e-17,Asset14Asset23
360,4.1984802277523e-18,Asset14Asset24
361,1.7811473542734655e-17,Asset14Asset25
362,0.0,Asset14Asset26
363,1.1682296547816578e-18,Asset14Asset27
364,0.0,Asset15Asset1
365,0.0,Asset15Asset2
366,0.0,Asset15Asset3
367,0.0,Asset15Asset4
368,0.0,Asset15Asset5
369,0.0,Asset15Asset6
370,0.0,Asset15Asset7
371,0.0,Asset15Asset8
372,0.0,Asset15Asset9
373,0.0,Asset15Asset10
374,0.0,Asset15Asset11
375,0.0,Asset15Asset12
376,0.0,Asset15Asset13
377,0.0,Asset15Asset14
378,0.0,Asset15Asset16
379,0.0,Asset15Asset17
380,0.0,Asset15Asset18
381,0.0,Asset15Asset19
382,0.0,Asset15Asset20
383,0.0,Asset15Asset21
384,0.0,Asset15Asset22
385,0.0,Asset15Asset23
386,0.0,Asset15Asset24
387,0.0,Asset15Asset25
388,0.0,Asset15Asset26
389,0.0,Asset15Asset27
390,0.0,Asset16Asset1
391,0.0,Asset16Asset2
392,0.0,Asset16Asset3
393,0.0,Asset16Asset4
394,0.0,Asset16Asset5
395,0.0,Asset16Asset6
396,0.0,Asset16Asset7
397,0.0,Asset16Asset8
398,0.0,Asset16Asset9
399,0.0,Asset16Asset10
400,0.0,Asset16Asset11
401,0.0,Asset16Asset12
402,0.0,Asset16Asset13
403,0.0,Asset16Asset14
404,0.0,Asset16Asset15
405,0.0,Asset16Asset17
406,0.0,Asset16Asset18
407,0.0,Asset16Asset19
408,0.0,Asset16Asset20
409,0.0,Asset16Asset21
410,0.0,Asset16Asset22
411,0.0,Asset16Asset23
412,0.0,Asset16Asset24
413,0.0,Asset16Asset25
414,0.0,Asset16Asset26
415,0.0,Asset16Asset27
416,0.0,Asset17Asset1
417,0.0,Asset17Asset2
418,0.0,Asset17Asset3
419,0.0,Asset17Asset4
420,1.50557678978781e-29,Asset17Asset5
421,0.0,Asset17Asset6
422,1.486095123007493e-29,Asset17Asset7
423,1.741882716389429e-29,Asset17Asset8
424,0.0,Asset17Asset9
425,0.0,Asset17Asset10
426,1.4092122809992968e-29,Asset17Asset11
427,2.6488288341103794e-29,Asset17Asset12
428,0.0,Asset17Asset13
429,3.9067500390047773e-29,Asset17Asset14
430,0.0,Asset17Asset15
431,0.0,Asset17Asset16
432,0.0,Asset17Asset18
433,0.0,Asset17Asset19
434,3.50841293245651e-29,Asset17Asset20
435,2.7274768850924796e-29,Asset17Asset21
436,1.5617436883470892e-29,Asset17Asset22
437,0.0,Asset17Asset23
438,0.0,Asset17Asset24
439,0.0,Asset17Asset25
440,0.0,Asset17Asset26
441,0.0,Asset17Asset27
442,0.0,Asset18Asset1
443,0.0,Asset18Asset2
444,0.0,Asset18Asset3
445,0.0,Asset18Asset4
446,0.0,Asset18Asset5
447,0.0,Asset18Asset6
448,0.0,Asset18Asset7
449,0.0,Asset18Asset8
450,0.0,Asset18Asset9
451,0.0,Asset18Asset10
452,0.0,Asset18Asset11
453,0.0,Asset18Asset12
454,0.0,Asset18Asset13
455,0.0,Asset18Asset14
456,0.0,Asset18Asset15
457,0.0,Asset18Asset16
458,0.0,Asset18Asset17
459,0.0,Asset18Asset19
460,0.0,Asset18Asset20
461,0.0,Asset18Asset21
462,0.0,Asset18Asset22
463,0.0,Asset18Asset23
464,0.0,Asset18Asset24
465,0.0,Asset18Asset25
466,0.0,Asset18Asset26
467,0.0,Asset18Asset27
468,0.0,Asset19Asset1
469,0.0,Asset19Asset2
470,0.0,Asset19Asset3
471,0.0,Asset19Asset4
472,0.0,Asset19Asset5
473,0.0,Asset19Asset6
474,0.0,Asset19Asset7
475,0.0,Asset19Asset8
476,0.0,Asset19Asset9
477,0.0,Asset19Asset10
478,0.0,Asset19Asset11
479,0.0,Asset19Asset12
480,0.0,Asset19Asset13
481,0.0,Asset19Asset14
482,0.0,Asset19Asset15
483,0.0,Asset19Asset16
484,0.0,Asset19Asset17
485,0.0,Asset19Asset18
486,0.0,Asset19Asset20
487,0.0,Asset19Asset21
488,0.0,Asset19Asset22
489,0.0,Asset19Asset23
490,0.0,Asset19Asset24
491,0.0,Asset19Asset25
492,0.0,Asset19Asset26
493,0.0,Asset19Asset27
494,0.0,Asset20Asset1
495,0.0,Asset20Asset2
496,5.557740621814046e-26,Asset20Asset3
497,0.0,Asset20Asset4
498,0.0,Asset20Asset5
499,0.0,Asset20Asset6
500,0.0,Asset20Asset7
501,0.0,Asset20Asset8
502,0.0,Asset20Asset9
503,6.642295965620419e-26,Asset20Asset10
504,0.0,Asset20Asset11
505,0.0,Asset20Asset12
506,0.0,Asset20Asset13
507,0.0,Asset20Asset14
508,0.0,Asset20Asset15
509,0.0,Asset20Asset16
510,0.0,Asset20Asset17
511,0.0,Asset20Asset18
512,0.0,Asset20Asset19
513,0.0,Asset20Asset21
514,0.0,Asset20Asset22
515,1.1569765087229649e-25,Asset20Asset23
516,0.0,Asset20Asset24
517,0.0,Asset20Asset25
518,0.0,Asset20Asset26
519,0.0,Asset20Asset27
520,9.523271937404465e-27,Asset21Asset1
521,1.919315166795342e-26,Asset21Asset2
522,3.066333431350272e-27,Asset21Asset3
523,1.8695497735699272e-26,Asset21Asset4
524,1.3248621928340058e-27,Asset21Asset5
525,2.7353311277178878e-27,Asset21Asset6
526,1.9503801453234154e-27,Asset21Asset7
527,1.3556974305432475e-26,Asset21Asset8
528,1.869429390858661e-26,Asset21Asset9
529,2.3751757362336222e-26,Asset21Asset10
530,3.6512725464438306e-27,Asset21Asset11
531,2.013578981030909e-27,Asset21Asset12
532,1.6368077539540127e-26,Asset21Asset13
533,2.006726389831313e-27,Asset21Asset14
534,3.609689594802169e-26,Asset21Asset15
535,1.8695497735699272e-26,Asset21Asset16
536,6.558739791931855e-27,Asset21Asset17
537,1.7089982962110933e-26,Asset21Asset18
538,1.792081828307919e-26,Asset21Asset19
539,2.936369773512733e-27,Asset21Asset20
540,1.5312775263330095e-27,Asset21Asset22
541,1.5262896277331458e-26,Asset21Asset23
542,1.5128631338799734e-26,Asset21Asset24
543,1.7249863484676027e-26,Asset21Asset25
544,6.62133488897282e-27,Asset21Asset26
545,4.2708529422631924e-27,Asset21Asset27
546,2.2245777168046435e-28,Asset22Asset1
547,5.307986468724503e-29,Asset22Asset2
548,9.76496795640439e-29,Asset22Asset3
549,5.591785171796298e-29,Asset22Asset4
550,0.0,Asset22Asset5
551,2.7017788790722605e-29,Asset22Asset6
552,0.0,Asset22Asset7
553,5.354680469468329e-29,Asset22Asset8
554,5.915560640458178e-29,Asset22Asset9
555,4.0280471414393685e-29,Asset22Asset10
556,1.4148733923995648e-28,Asset22Asset11
557,3.124854865510807e-29,Asset22Asset12
558,4.853523669542961e-29,Asset22Asset13
559,2.5206385087106576e-29,Asset22Asset14
560,5.105034735512297e-29,Asset22Asset15
561,5.591785171796298e-29,Asset22Asset16
562,2.5012128459570574e-29,Asset22Asset17
563,5.202907927911229e-29,Asset22Asset18
564,5.29127536468278e-29,Asset22Asset19
565,1.4502949088267918e-28,Asset22Asset20
566,1.8312909142034147e-29,Asset22Asset21
567,5.585163094430447e-29,Asset22Asset23
568,1.318481949100065e-28,Asset22Asset24
569,6.11922603091362e-29,Asset22Asset25
570,0.0,Asset22Asset26
571,2.20842915464434e-29,Asset22Asset27
572,8.809683701849441e-17,Asset23Asset1
573,9.087526546612227e-17,Asset23Asset2
574,8.81151762719641e-17,Asset23Asset3
575,9.170707353662089e-17,Asset23Asset4
576,1.0550854268468237e-16,Asset23Asset5
577,9.034224167961716e-17,Asset23Asset6
578,0.0,Asset23Asset7
579,3.443636045944025e-16,Asset23Asset8
580,7.197096396655535e-17,Asset23Asset9
581,9.16029736802912e-17,Asset23Asset10
582,0.0,Asset23Asset11
583,0.0,Asset23Asset12
584,9.544581554031598e-17,Asset23Asset13
585,1.532750926541096e-16,Asset23Asset14
586,9.331092927007071e-17,Asset23Asset15
587,9.170707353662089e-17,Asset23Asset16
588,2.72694913286861e-29,Asset23Asset17
589,9.949148597791949e-17,Asset23Asset18
590,9.035049237391279e-17,Asset23Asset19
591,0.0,Asset23Asset20
592,6.832331526376108e-19,Asset23Asset21
593,1.0322679261231622e-16,Asset23Asset22
594,2.6178572115275756e-12,Asset23Asset24
595,8.839745654014588e-17,Asset23Asset25
596,9.183449486480132e-17,Asset23Asset26
597,9.419075364241676e-17,Asset23Asset27
598,0.0,Asset24Asset1
599,0.0,Asset24Asset2
600,0.0,Asset24Asset3
601,0.0,Asset24Asset4
602,0.0,Asset24Asset5
603,0.0,Asset24Asset6
604,0.0,Asset24Asset7
605,0.0,Asset24Asset8
606,0.0,Asset24Asset9
607,0.0,Asset24Asset10
608,0.0,Asset24Asset11
609,0.0,Asset24Asset12
610,0.0,Asset24Asset13
611,0.0,Asset24Asset14
612,0.0,Asset24Asset15
613,0.0,Asset24Asset16
614,0.0,Asset24Asset17
615,0.0,Asset24Asset18
616,0.0,Asset24Asset19
617,0.0,Asset24Asset20
618,0.0,Asset24Asset21
619,0.0,Asset24Asset22
620,0.0,Asset24Asset23
621,0.0,Asset24Asset25
622,0.0,Asset24Asset26
623,0.0,Asset24Asset27
624,2.0420755228316932e-16,Asset25Asset1
625,3.4498404443787575e-24,Asset25Asset2
626,3.64101653806216e-24,Asset25Asset3
627,3.4215787234430826e-24,Asset25Asset4
628,3.7597561728925535e-24,Asset25Asset5
629,3.603290668984965e-24,Asset25Asset6
630,1.5357088659510556e-16,Asset25Asset7
