,0,1
380,0.0,Asset15Asset18
381,1.145103215389201e-26,Asset15Asset19
382,0.0,Asset15Asset20
383,0.0,Asset15Asset21
384,9.228892891735248e-26,Asset15Asset22
385,2.2971122325774937e-26,Asset15Asset23
386,1.4176526461565334e-29,Asset15Asset24
387,0.0,Asset15Asset25
388,0.0,Asset15Asset26
389,1.5322656225843118e-25,Asset15Asset27
390,1.8816860417086543e-24,Asset16Asset1
391,1.906197180559882e-24,Asset16Asset2
392,8.02117377876107e-25,Asset16Asset3
393,2.064533191837981e-24,Asset16Asset4
394,1.6269708638971938e-24,Asset16Asset5
395,1.8200323753006483e-24,Asset16Asset6
396,1.9478796339772834e-24,Asset16Asset7
397,1.242864972179964e-24,Asset16Asset8
398,1.990273776965934e-24,Asset16Asset9
399,1.357488020486228e-24,Asset16Asset10
400,1.808691964428696e-24,Asset16Asset11
401,9.747199828209775e-25,Asset16Asset12
402,2.1292471058569755e-24,Asset16Asset13
403,2.1044428694837176e-24,Asset16Asset14
404,1.663034506698384e-24,Asset16Asset15
405,1.3012050496529156e-24,Asset16Asset17
406,1.4817671757271963e-24,Asset16Asset18
407,1.0866390300069247e-24,Asset16Asset19
408,1.0611188052715965e-24,Asset16Asset20
409,1.4576353111673302e-24,Asset16Asset21
410,2.4405261190436636e-24,Asset16Asset22
411,1.905915265768036e-24,Asset16Asset23
412,1.156415938395697e-24,Asset16Asset24
413,2.9751512943774788e-24,Asset16Asset25
414,2.7049621569510898e-24,Asset16Asset26
415,2.3015243237908535e-24,Asset16Asset27
416,0.0,Asset17Asset1
417,0.0,Asset17Asset2
418,0.0,Asset17Asset3
419,0.0,Asset17Asset4
420,1.3530614001712273e-29,Asset17Asset5
421,1.3530237232019828e-29,Asset17Asset6
422,1.364932075919823e-29,Asset17Asset7
423,0.0,Asset17Asset8
424,0.0,Asset17Asset9
425,1.3421853258927086e-29,Asset17Asset10
426,2.128355678589054e-29,Asset17Asset11
427,2.295389541258238e-29,Asset17Asset12
428,0.0,Asset17Asset13
429,0.0,Asset17Asset14
430,0.0,Asset17Asset15
431,0.0,Asset17Asset16
432,0.0,Asset17Asset18
433,1.3468181103099792e-29,Asset17Asset19
434,0.0,Asset17Asset20
435,0.0,Asset17Asset21
436,0.0,Asset17Asset22
437,0.0,Asset17Asset23
438,0.0,Asset17Asset24
439,0.0,Asset17Asset25
440,0.0,Asset17Asset26
441,0.0,Asset17Asset27
442,0.0,Asset18Asset1
443,0.0,Asset18Asset2
444,0.0,Asset18Asset3
445,0.0,Asset18Asset4
446,0.0,Asset18Asset5
447,0.0,Asset18Asset6
448,0.0,Asset18Asset7
449,0.0,Asset18Asset8
450,0.0,Asset18Asset9
451,0.0,Asset18Asset10
452,0.0,Asset18Asset11
453,0.0,Asset18Asset12
454,0.0,Asset18Asset13
455,0.0,Asset18Asset14
456,0.0,Asset18Asset15
457,0.0,Asset18Asset16
458,8.219661895467838e-28,Asset18Asset17
459,0.0,Asset18Asset19
460,0.0,Asset18Asset20
461,0.0,Asset18Asset21
462,0.0,Asset18Asset22
463,3.744344475245505e-28,Asset18Asset23
464,0.0,Asset18Asset24
465,0.0,Asset18Asset25
466,0.0,Asset18Asset26
467,0.0,Asset18Asset27
468,3.8572601697173804e-27,Asset19Asset1
469,6.1531142635064394e-27,Asset19Asset2
470,2.761611636688879e-27,Asset19Asset3
471,0.0,Asset19Asset4
